FA-Nr.,Artikelnr.,Bez./Artikel,Maschinenressource,AG-Starttermin,AG-Ende,KW,Tag,Wochentag,Planzeit [h],KI-Zeit [h],Ist-Zeit [h]
726156,ZJDEE0001624,"Gehaeuse DRBS NPS 36""  FtF 1100",PC61,2025-05-29 08:11:00,2025-05-29 11:56:00,22,2025-05-29,Donnerstag,6.3726611178881045,6.357023779532252,
726156,ZJDEE0001624,"Gehaeuse DRBS NPS 36""  FtF 1100",PC91,2025-06-03 11:11:00,2025-06-03 13:11:00,23,2025-06-03,Dienstag,2.4821848116099434,2.317600816993184,
726156,ZJDEE0001624,"Gehaeuse DRBS NPS 36""  FtF 1100",QC00,2025-06-06 12:52:00,2025-06-06 12:53:00,23,2025-06-06,Freitag,3.228292459600286,2.9364969588644922,
726156,ZJDEE0001624,"Gehaeuse DRBS NPS 36""  FtF 1100",PC81,2025-06-12 21:41:00,2025-06-13 08:29:00,24,2025-06-12,Donnerstag,0.7888264002122503,0.8454515577120735,
726156,ZJDEE0001624,"Gehaeuse DRBS NPS 36""  FtF 1100",PW21,2025-06-16 12:47:00,2025-06-17 20:17:00,25,2025-06-16,Montag,9.710222936284831,8.861155302153954,
726156,ZJDEE0001624,"Gehaeuse DRBS NPS 36""  FtF 1100",PDD10,2025-06-20 21:41:00,2025-06-20 21:45:00,25,2025-06-20,Freitag,6.578485688304805,7.502389786671976,
726156,ZJDEE0001624,"Gehaeuse DRBS NPS 36""  FtF 1100",QC10,2025-06-27 17:30:00,2025-06-27 21:45:00,26,2025-06-27,Freitag,3.1722417855930454,2.866725291794411,
726156,ZJDEE0001624,"Gehaeuse DRBS NPS 36""  FtF 1100",PDS10,2025-07-14 02:57:00,2025-07-14 04:42:00,29,2025-07-14,Montag,6.057342857781869,7.264140885209006,
726157,ZJDEE0001655,"Haube DRBS NPS 36"" B 615  S 50  L 1425",PM42,2025-06-20 09:14:00,2025-06-20 10:38:00,25,2025-06-20,Freitag,9.221802713012698,8.550108732488924,
726157,ZJDEE0001655,"Haube DRBS NPS 36"" B 615  S 50  L 1425",QC00,2025-06-25 21:44:00,2025-06-25 21:45:00,26,2025-06-25,Mittwoch,8.557071638563272,8.750989168799492,
726161,ZJDEE0001627,"GEHAEUSEWANDUNG DRBS NPS 36"" B 407 S 25 L 3417",PC22,2025-04-29 07:51:00,2025-04-29 10:53:00,18,2025-04-29,Dienstag,4.3836874894640125,4.921943329606557,
726164,ZJDE202239,"Schieberplatte DRBS DN 36"" DA 902 S 50",PW21,2025-07-02 15:21:00,2025-07-02 16:45:00,27,2025-07-02,Mittwoch,1.1557111560386073,1.0555206310269625,
726165,ZJDE202239,"Schieberplatte DRBS DN 36"" DA 902 S 50",PW72,2025-07-03 06:15:00,2025-07-03 11:00:00,27,2025-07-03,Donnerstag,8.467497219848315,7.735210736987825,
728431,ZJDE293231,"Aufnahmeblech DRBS DN 30"" B 256 S 25 L 305",PC00,2025-05-29 21:44:00,2025-05-29 21:45:00,22,2025-05-29,Donnerstag,3.797940873919594,3.583646845563006,
728431,ZJDE293231,"Aufnahmeblech DRBS DN 30"" B 256 S 25 L 305",PC21,2025-05-29 08:13:00,2025-05-29 08:30:00,22,2025-05-29,Donnerstag,2.562118097135355,2.407858413989119,
728435,ZJDE293231,"Aufnahmeblech DRBS DN 30"" B 256 S 25 L 305",PC00,2025-05-29 21:44:00,2025-05-29 21:45:00,22,2025-05-29,Donnerstag,3.9929117078180103,4.458984861810116,
728443,ZJDE293259,"Brillenblech DRBS DN 30"" B 919 S 30 L 1755",PC00,2025-05-29 21:44:00,2025-05-29 21:45:00,22,2025-05-29,Donnerstag,0.584711868200809,0.5499438717821784,
728444,ZJDE293259,"Brillenblech DRBS DN 30"" B 919 S 30 L 1755",PC21,2025-05-29 07:10:00,2025-05-29 08:30:00,22,2025-05-29,Donnerstag,7.295380885881085,7.865702229513461,
